takeProfit change:0.001675;killTime change:4.38013
takeProfit change:0.00135;killTime change:3.53026
takeProfit change:0.0009;killTime change:2.3535
takeProfit change:0.001275;killTime change:3.33413
takeProfit change:0.0009;killTime change:2.3535
takeProfit change:0.00135;killTime change:3.53026
takeProfit change:0.001075;killTime change:2.81113
takeProfit change:0.000575;killTime change:1.50363
takeProfit change:0.0011;killTime change:2.8765
takeProfit change:0.000825;killTime change:2.15738
takeProfit change:0.0008;killTime change:2.092
stopLoss change:0.0005;killTime change:-1.3075
stopLoss change:0.000825;killTime change:-2.15738
stopLoss change:0.000825;killTime change:-2.15738
stopLoss change:0.0005;killTime change:-1.3075
stopLoss change:0.001025;killTime change:-2.68038
stopLoss change:0.000675;killTime change:-1.76513
stopLoss change:0.001475;killTime change:-3.85713
stopLoss change:0.001725;killTime change:-4.51088
stopLoss change:0.000875;killTime change:-2.28813
stopLoss change:0.00105;killTime change:-2.74575
takeProfit change:0.001425;killTime change:3.72638
takeProfit change:0.000575;killTime change:1.50363
takeProfit change:0.00045;killTime change:1.17675
stopLoss change:0.00045;killTime change:-1.17675
takeProfit change:0.0006;killTime change:1.569
takeProfit change:0.0009;killTime change:2.3535
takeProfit change:0.0012;killTime change:3.13801
takeProfit change:0.001;killTime change:2.615
takeProfit change:0.00045;killTime change:1.17675
takeProfit change:0.00075;killTime change:1.96125
takeProfit change:0.0004;killTime change:1.046
stopLoss change:0.000475;killTime change:-1.24213
takeProfit change:0.0004;killTime change:1.046
takeProfit change:0.0009;killTime change:2.3535
takeProfit change:0.0008;killTime change:2.092
takeProfit change:0.000625;killTime change:1.63438
stopLoss change:0.001725;killTime change:-4.51088
stopLoss change:0.0017;killTime change:-4.44551
stopLoss change:0.00115;killTime change:-3.00726
takeProfit change:0.000775;killTime change:2.02663
takeProfit change:0.0009;killTime change:2.3535
takeProfit change:0.000425;killTime change:1.11138
stopLoss change:0.0005;killTime change:-1.3075
stopLoss change:0.00055;killTime change:-1.43825
stopLoss change:0.0005;killTime change:-1.3075
stopLoss change:0.0005;killTime change:-1.3075
stopLoss change:0.0006;killTime change:-1.569
stopLoss change:0.000625;killTime change:-1.63438
stopLoss change:0.0007;killTime change:-1.8305
stopLoss change:0.000475;killTime change:-1.24213
takeProfit change:0.00055;killTime change:1.43825
takeProfit change:0.000675;killTime change:1.76513
takeProfit change:0.000975;killTime change:2.54963
takeProfit change:0.000875;killTime change:2.28813
takeProfit change:0.00055;killTime change:1.43825
takeProfit change:0.000425;killTime change:1.11138
takeProfit change:0.00045;killTime change:1.17675
takeProfit change:0.00055;killTime change:1.43825
takeProfit change:0.00085;killTime change:2.22275
stopLoss change:0.000475;killTime change:-1.24213
stopLoss change:0.000525;killTime change:-1.37288
stopLoss change:0.0006;killTime change:-1.569
stopLoss change:0.000775;killTime change:-2.02663
stopLoss change:0.000625;killTime change:-1.63438
stopLoss change:0.0018;killTime change:-4.70701
INFO: GapDown;STOPLOSS;tradeId:907;parenttradeId:906;timeStamp:2024-02-22 14:45:13;price:150.476;killTime:221.582;profit loss for trades:-19.9367
INFO: GapDown;new trade; tradeCount:19;tradeId:908;timeStamp:2024-02-23 17:22:22;t_cur:42958;h_cur:0.2045;h1:0.0165;price:150.398;takeProfit:150.482;stopLoss:150.382;killTime:900
takeProfit change:0.0009;killTime change:8.08343
takeProfit change:0.001175;killTime change:10.5534
takeProfit change:0.001125;killTime change:10.1043
takeProfit change:0.000425;killTime change:3.81717
stopLoss change:0.00045;killTime change:-4.04171
stopLoss change:0.0004;killTime change:-3.59264
stopLoss change:0.0004;killTime change:-3.59264
takeProfit change:0.0004;killTime change:3.59264
stopLoss change:0.0005;killTime change:-4.49079
stopLoss change:0.000525;killTime change:-4.71533
INFO: GapDown;STOPLOSS;tradeId:909;parenttradeId:908;timeStamp:2024-02-23 17:33:14;price:150.383;killTime:915.718;profit loss for trades:-96.4202
INFO: GapDown;new trade; tradeCount:20;tradeId:910;timeStamp:2024-02-29 08:07:55;t_cur:1375.19;h_cur:0.115;h1:0.0125;price:149.704;takeProfit:149.748;stopLoss:149.692;killTime:900
takeProfit change:0.0009;killTime change:14.3744
takeProfit change:0.000825;killTime change:13.1766
takeProfit change:0.00085;killTime change:13.5759
takeProfit change:0.0004;killTime change:6.38864
takeProfit change:0.00045;killTime change:7.18722
stopLoss change:0.000425;killTime change:-6.78793
stopLoss change:0.000425;killTime change:-6.78793
stopLoss change:0.00045;killTime change:-7.18722
stopLoss change:0.0004;killTime change:-6.38864
takeProfit change:0.0004;killTime change:6.38864
stopLoss change:0.0004;killTime change:-6.38864
stopLoss change:0.000525;killTime change:-8.38509
stopLoss change:0.00055;killTime change:-8.78438
INFO: GapDown;STOPLOSS;tradeId:911;parenttradeId:910;timeStamp:2024-02-29 08:10:39;price:149.695;killTime:910.382;profit loss for trades:-63.4624
INFO: GapUp;new trade; tradeCount:0;tradeId:912;timeStamp:2024-02-01 22:04:00;h_cur:0.1755;h1:0.0365;price:146.388;takeProfit:146.339;stopLoss:146.388;killTime:900
INFO: GapUp;STOPLOSS;tradeId:913;parenttradeId:912;timeStamp:2024-02-01 22:04:10;price:146.435;killTime:900;profit loss for trades:-314.134
INFO: GapUp;new trade; tradeCount:1;tradeId:914;timeStamp:2024-02-01 22:32:10;h_cur:0.12299;h1:0.017;price:146.462;takeProfit:146.419;stopLoss:146.462;killTime:900
takeProfit change:0.000575;killTime change:8.58707
takeProfit change:0.00055;killTime change:8.21372
takeProfit change:0.002075;killTime change:30.9881
takeProfit change:0.00135;killTime change:20.161
takeProfit change:0.0026;killTime change:38.8285
takeProfit change:0.002625;killTime change:39.2019
takeProfit change:0.00105;killTime change:15.6807
takeProfit change:0.00085;killTime change:12.6939
takeProfit change:0.0006;killTime change:8.96042
takeProfit change:0.00045;killTime change:6.72032
takeProfit change:0.000775;killTime change:11.5739
takeProfit change:0.001375;killTime change:20.5343
INFO: GapUp;TAKEPROFIT;tradeId:915;parenttradeId:914;timeStamp:2024-02-01 22:32:17;price:146.397;killTime:1122.14;profit loss for trades:443.998
INFO: GapUp;new trade; tradeCount:2;tradeId:916;timeStamp:2024-02-01 23:34:31;h_cur:0.1235;h1:0.0125;price:146.475;takeProfit:146.427;stopLoss:146.475;killTime:820.651
takeProfit change:0.0008;killTime change:10.8489
takeProfit change:0.00085;killTime change:11.527
takeProfit change:0.000875;killTime change:11.866
INFO: GapUp;STOPLOSS;tradeId:917;parenttradeId:916;timeStamp:2024-02-01 23:37:15;price:146.488;killTime:854.893;profit loss for trades:-85.3312
